Tamb,Tdc_in,qdc,wdc,Tdc_out
25,28,24,46.272,46.272
25,28,24,63.908,63.908
25,28,24,81.544,81.544
25,28,24,99.18,99.18
25,32.5,6,11,11
25,32.5,6,28.636,28.636
25,32.5,6,46.272,46.272
25,32.5,6,63.908,63.908
25,32.5,6,81.544,81.544
25,32.5,6,99.18,99.18
25,32.5,9,11,11
25,32.5,9,28.636,28.636
25,32.5,9,46.272,46.272
25,32.5,9,63.908,63.908
25,32.5,9,81.544,81.544
25,32.5,9,99.18,99.18
25,32.5,12,11,11
25,32.5,12,28.636,28.636
25,32.5,12,46.272,46.272
25,32.5,12,63.908,63.908
25,32.5,12,81.544,81.544
25,32.5,12,99.18,99.18
25,32.5,15,11,11
25,32.5,15,28.636,28.636
25,32.5,15,46.272,46.272
25,32.5,15,63.908,63.908
25,32.5,15,81.544,81.544
25,32.5,15,99.18,99.18
25,32.5,18,11,11
25,32.5,18,28.636,28.636
25,32.5,18,46.272,46.272
25,32.5,18,63.908,63.908
25,32.5,18,81.544,81.544
25,32.5,18,99.18,99.18
25,32.5,21,11,11
25,32.5,21,28.636,28.636
25,32.5,21,46.272,46.272
25,32.5,21,63.908,63.908
25,32.5,21,81.544,81.544
25,32.5,21,99.18,99.18
25,32.5,24,11,11
25,32.5,24,28.636,28.636
25,32.5,24,46.272,46.272
25,32.5,24,63.908,63.908
25,32.5,24,81.544,81.544
25,32.5,24,99.18,99.18
25,37,6,11,11
25,37,6,28.636,28.636
25,37,6,46.272,46.272
25,37,6,63.908,63.908
25,37,6,81.544,81.544
25,37,6,99.18,99.18
25,37,9,11,11
25,37,9,28.636,28.636
25,37,9,46.272,46.272
25,37,9,63.908,63.908
25,37,9,81.544,81.544
25,37,9,99.18,99.18
25,37,12,11,11
25,37,12,28.636,28.636
25,37,12,46.272,46.272
25,37,12,63.908,63.908
25,37,12,81.544,81.544
25,37,12,99.18,99.18
25,37,15,11,11
25,37,15,28.636,28.636
25,37,15,46.272,46.272
25,37,15,63.908,63.908
25,37,15,81.544,81.544
25,37,15,99.18,99.18
25,37,18,11,11
25,37,18,28.636,28.636
25,37,18,46.272,46.272
25,37,18,63.908,63.908
25,37,18,81.544,81.544
25,37,18,99.18,99.18
25,37,21,11,11
25,37,21,28.636,28.636
25,37,21,46.272,46.272
25,37,21,63.908,63.908
25,37,21,81.544,81.544
25,37,21,99.18,99.18
25,37,24,11,11
25,37,24,28.636,28.636
25,37,24,46.272,46.272
25,37,24,63.908,63.908
25,37,24,81.544,81.544
25,37,24,99.18,99.18
25,41.5,6,11,11
25,41.5,6,28.636,28.636
25,41.5,6,46.272,46.272
25,41.5,6,63.908,63.908
25,41.5,6,81.544,81.544
25,41.5,6,99.18,99.18
25,41.5,9,11,11
