Tamb,Tdc_in,qdc,wdc,Tdc_out
17.6666666666667,34.1666666666667,9,28.636,27.8488872282785
17.6666666666667,34.1666666666667,9,46.272,25.4654947916667
17.6666666666667,34.1666666666667,9,63.908,23.8863932291667
17.6666666666667,34.1666666666667,9,81.544,22.7906901041667
17.6666666666667,34.1666666666667,9,99.18,21.9930826822917
17.6666666666667,34.1666666666667,12,11,32.2762152612887
17.6666666666667,34.1666666666667,12,28.636,29.0740768916161
17.6666666666667,34.1666666666667,12,46.272,26.8785227948141
17.6666666666667,34.1666666666667,12,63.908,25.3124186197917
17.6666666666667,34.1666666666667,12,81.544,24.1442057291667
17.6666666666667,34.1666666666667,12,99.18,23.2579752604167
17.6666666666667,34.1666666666667,15,11,32.6347176278781
17.6666666666667,34.1666666666667,15,28.636,29.9129909386386
17.6666666666667,34.1666666666667,15,46.272,27.9222827160941
17.6666666666667,34.1666666666667,15,63.908,26.4161783854167
17.6666666666667,34.1666666666667,15,81.544,25.2560221354167
17.6666666666667,34.1666666666667,15,99.18,24.3375651041667
17.6666666666667,34.1666666666667,18,11,32.8791549007493
17.6666666666667,34.1666666666667,18,28.636,30.517085806261
17.6666666666667,34.1666666666667,18,46.272,28.7092049288873
17.6666666666667,34.1666666666667,18,63.908,27.2876632593172
17.6666666666667,34.1666666666667,18,81.544,26.1583658854167
17.6666666666667,34.1666666666667,18,99.18,25.2399088541667
17.6666666666667,34.1666666666667,21,11,33.0560872106753
17.6666666666667,34.1666666666667,21,28.636,30.9742040637426
17.6666666666667,34.1666666666667,21,46.272,29.3277096835344
17.6666666666667,34.1666666666667,21,63.908,27.9942541645316
17.6666666666667,34.1666666666667,21,81.544,26.9079023847613
17.6666666666667,34.1666666666667,21,99.18,26.0052897135417
17.6666666666667,34.1666666666667,24,11,33.1901477331079
17.6666666666667,34.1666666666667,24,28.636,31.328282464799
17.6666666666667,34.1666666666667,24,46.272,29.8182269859053
17.6666666666667,34.1666666666667,24,63.908,28.5724002419446
17.6666666666667,34.1666666666667,24,81.544,27.5311367346333
17.6666666666667,34.1666666666667,24,99.18,26.6578776041667
17.6666666666667,38.6666666666667,6,11,34.1526050908025
17.6666666666667,38.6666666666667,6,28.636,28.1051432291667
17.6666666666667,38.6666666666667,6,46.272,24.9879557291667
17.6666666666667,38.6666666666667,6,63.908,23.1832682291667
17.6666666666667,38.6666666666667,6,81.544,22.0348307291667
17.6666666666667,38.6666666666667,6,99.18,21.2452799479167
17.6666666666667,38.6666666666667,9,11,35.5185176641662
17.6666666666667,38.6666666666667,9,28.636,30.59436862177
17.6666666666667,38.6666666666667,9,46.272,27.5309244791667
17.6666666666667,38.6666666666667,9,63.908,25.5211588541667
17.6666666666667,38.6666666666667,9,81.544,24.1061197916667
17.6666666666667,38.6666666666667,9,99.18,23.0909830729167
17.6666666666667,38.6666666666667,12,11,36.2551354911261
17.6666666666667,38.6666666666667,12,28.636,32.1659270065987
17.6666666666667,38.6666666666667,12,46.272,29.3527102101375
17.6666666666667,38.6666666666667,12,63.908,27.3463541666667
17.6666666666667,38.6666666666667,12,81.544,25.8492838541667
17.6666666666667,38.6666666666667,12,99.18,24.7213541666667
17.6666666666667,38.6666666666667,15,11,36.7110191312448
17.6666666666667,38.6666666666667,15,28.636,33.236726012714
17.6666666666667,38.6666666666667,15,46.272,30.6874047418331
17.6666666666667,38.6666666666667,15,63.908,28.7613932291667
17.6666666666667,38.6666666666667,15,81.544,27.2745768229167
17.6666666666667,38.6666666666667,15,99.18,26.0953776041667
17.6666666666667,38.6666666666667,18,11,37.023034287377
17.6666666666667,38.6666666666667,18,28.636,34.007789250712
17.6666666666667,38.6666666666667,18,46.272,31.6933332667288
17.6666666666667,38.6666666666667,18,63.908,29.8843665783468
17.6666666666667,38.6666666666667,18,81.544,28.4332682291667
17.6666666666667,38.6666666666667,18,99.18,27.2540690104167
17.6666666666667,38.6666666666667,21,11,37.2498692763969
17.6666666666667,38.6666666666667,21,28.636,34.5912522833346
17.6666666666667,38.6666666666667,21,46.272,32.4838017529233
17.6666666666667,38.6666666666667,21,63.908,30.786630959328
17.6666666666667,38.6666666666667,21,81.544,29.3889357462746
17.6666666666667,38.6666666666667,21,99.18,28.2384440104167
17.6666666666667,38.6666666666667,24,11,37.4217370612956
17.6666666666667,38.6666666666667,24,28.636,35.0432078140874
17.6666666666667,38.6666666666667,24,46.272,33.1154661883852
17.6666666666667,38.6666666666667,24,63.908,31.5247894323064
17.6666666666667,38.6666666666667,24,81.544,30.1949365612114
17.6666666666667,38.6666666666667,24,99.18,29.0690104166667
17.6666666666667,43.1666666666667,6,11,37.6696779217172
17.6666666666667,43.1666666666667,6,28.636,30.2797037760417
17.6666666666667,43.1666666666667,6,46.272,26.4820963541667
17.6666666666667,43.1666666666667,6,63.908,24.2657877604167
17.6666666666667,43.1666666666667,6,81.544,22.8588053385417
17.6666666666667,43.1666666666667,6,99.18,21.9000651041667
17.6666666666667,43.1666666666667,9,11,39.3355682683145
17.6666666666667,43.1666666666667,9,28.636,33.327000993225
17.6666666666667,43.1666666666667,9,46.272,29.5948893229167
17.6666666666667,43.1666666666667,9,63.908,27.1295572916667
17.6666666666667,43.1666666666667,9,81.544,25.4112955729167
17.6666666666667,43.1666666666667,9,99.18,24.1661783854167
17.6666666666667,43.1666666666667,12,11,40.2318274009019
17.6666666666667,43.1666666666667,12,28.636,35.2500058601256
17.6666666666667,43.1666666666667,12,46.272,31.8113431964246
17.6666666666667,43.1666666666667,12,63.908,29.3583170572917
17.6666666666667,43.1666666666667,12,81.544,27.5404459635417
17.6666666666667,43.1666666666667,12,99.18,26.1583658854167
17.6666666666667,43.1666666666667,15,11,40.7882276140493
17.6666666666667,43.1666666666667,15,28.636,36.5539060583653
17.6666666666667,43.1666666666667,15,46.272,33.4395066145926
17.6666666666667,43.1666666666667,15,63.908,31.1014811197917
17.6666666666667,43.1666666666667,15,81.544,29.2836100260417
17.6666666666667,43.1666666666667,15,99.18,27.8392740885417
17.6666666666667,43.1666666666667,18,11,41.1676377952511
17.6666666666667,43.1666666666667,18,28.636,37.4974154263502
17.6666666666667,43.1666666666667,18,46.272,34.6740107279763
17.6666666666667,43.1666666666667,18,63.908,32.4591557144952
17.6666666666667,43.1666666666667,18,81.544,30.6905924479167
17.6666666666667,43.1666666666667,18,99.18,29.2587076822917
17.6666666666667,43.1666666666667,21,11,41.4422900321176
17.6666666666667,43.1666666666667,21,28.636,38.2032892348526
17.6666666666667,43.1666666666667,21,46.272,35.636655838076
17.6666666666667,43.1666666666667,21,63.908,33.5598267912936
17.6666666666667,43.1666666666667,21,81.544,31.8660706154701
17.6666666666667,43.1666666666667,21,99.18,30.4540201822917
17.6666666666667,43.1666666666667,24,11,41.6504045751059
17.6666666666667,43.1666666666667,24,28.636,38.7570996704197
17.6666666666667,43.1666666666667,24,46.272,36.4058832567503
17.6666666666667,43.1666666666667,24,63.908,34.460091302069
17.6666666666667,43.1666666666667,24,81.544,32.837428174968
17.6666666666667,43.1666666666667,24,99.18,31.4750162760417
25,28,6,11,27.3593203326083
25,28,6,28.636,26.50439453125
25,28,6,46.272,26.06201171875
25,28,6,63.908,25.80419921875
25,28,6,81.544,25.64013671875
25,28,6,99.18,25.52734375
25,28,9,11,27.5529763479678
25,28,9,28.636,26.854083846859
25,28,9,46.272,26.4208984375
25,28,9,63.908,26.1337890625
25,28,9,81.544,25.9345703125
25,28,9,99.18,25.7880859375
25,28,12,11,27.6571444673152
25,28,12,28.636,27.0764994998191
25,28,12,46.272,26.6779891196358
25,28,12,63.908,26.39306640625
25,28,12,81.544,26.1806640625
25,28,12,99.18,26.01953125
25,28,15,11,27.7219947833695
25,28,15,28.636,27.2287552127883
25,28,15,46.272,26.8663807734429
25,28,15,63.908,26.59375
25,28,15,81.544,26.3828125
25,28,15,99.18,26.2158203125
25,28,18,11,27.7663703254005
25,28,18,28.636,27.3378276403505
25,28,18,46.272,27.0103265732474
25,28,18,63.908,26.7523290368885
25,28,18,81.544,26.546875
25,28,18,99.18,26.3798828125
25,28,21,11,27.7984868985408
25,28,21,28.636,27.4208332110216
25,28,21,46.272,27.1217995858784
25,28,21,63.908,26.8805963814681
25,28,21,81.544,26.6834476066482
25,28,21,99.18,26.51904296875
25,28,24,11,27.8228191745762
25,28,24,28.636,27.4851156404079
25,28,24,46.272,27.2115998394823
25,28,24,63.908,26.9855382057926
25,28,24,81.544,26.7965755024219
25,28,24,99.18,26.6376953125
25,32.5,6,11,30.8922276668898
25,32.5,6,28.636,28.739013671875
25,32.5,6,46.272,27.625732421875
25,32.5,6,63.908,26.9775390625
25,32.5,6,81.544,26.56005859375
25,32.5,6,99.18,26.28173828125
25,32.5,9,11,31.3790123642348
25,32.5,9,28.636,29.623599404257
25,32.5,9,46.272,28.533935546875
25,32.5,9,63.908,27.8125
25,32.5,9,81.544,27.30712890625
25,32.5,9,99.18,26.94091796875
25,32.5,12,11,31.6402092125925
25,32.5,12,28.636,30.1840930050116
25,32.5,12,46.272,29.1809220955349
25,32.5,12,63.908,28.46435546875
25,32.5,12,81.544,27.9296875
25,32.5,12,99.18,NaN
25,32.5,15,11,31.8033140699629
25,32.5,15,28.636,30.5642725432073
25,32.5,15,46.272,29.6569627212143
25,32.5,15,63.908,28.9697265625
25,32.5,15,81.544,28.438720703125
25,32.5,15,99.18,28.017578125
25,32.5,18,11,31.9141008810646
25,32.5,18,28.636,30.8394059495265
