Tamb,Tin,w_fan,q,Tout
10.3333333333333,35.8333333333333,28.636,12,28.9013344009044
10.3333333333333,35.8333333333333,46.272,12,26.2568994415295
10.3333333333333,35.8333333333333,63.908,12,24.4654134114583
10.3333333333333,35.8333333333333,81.544,12,23.1829427083333
10.3333333333333,35.8333333333333,99.18,12,22.2117513020833
10.3333333333333,35.8333333333333,11,15,33.6250527941897
10.3333333333333,35.8333333333333,28.636,15,29.9823921999833
10.3333333333333,35.8333333333333,46.272,15,27.5139983819465
10.3333333333333,35.8333333333333,63.908,15,25.7603352864583
10.3333333333333,35.8333333333333,81.544,15,24.4529622395833
10.3333333333333,35.8333333333333,99.18,15,23.4444173177083
10.3333333333333,35.8333333333333,11,18,33.9706585270685
10.3333333333333,35.8333333333333,28.636,18,30.7723458068051
10.3333333333333,35.8333333333333,46.272,18,28.492657719173
10.3333333333333,35.8333333333333,63.908,18,26.8002182751454
10.3333333333333,35.8333333333333,81.544,18,25.5113118489583
10.3333333333333,35.8333333333333,99.18,18,24.4903157552083
10.3333333333333,35.8333333333333,11,21,34.2223290140608
10.3333333333333,35.8333333333333,28.636,21,31.3761990122349
10.3333333333333,35.8333333333333,46.272,21,29.2721428149093
10.3333333333333,35.8333333333333,63.908,21,27.6545694943298
10.3333333333333,35.8333333333333,81.544,21,26.3960265733046
10.3333333333333,35.8333333333333,99.18,21,25.3743489583333
10.3333333333333,35.8333333333333,11,24,34.4152749239661
10.3333333333333,35.8333333333333,28.636,24,31.8533588234566
10.3333333333333,35.8333333333333,46.272,24,29.9037420424226
10.3333333333333,35.8333333333333,63.908,24,28.3697410484364
10.3333333333333,35.8333333333333,81.544,24,27.1367531964066
10.3333333333333,35.8333333333333,99.18,24,26.1338704427083
10.3333333333333,40.3333333333333,11,6,34.4631004820247
10.3333333333333,40.3333333333333,28.636,6,27.5598958333333
10.3333333333333,40.3333333333333,46.272,6,24.3079427083333
10.3333333333333,40.3333333333333,63.908,6,22.4622395833333
10.3333333333333,40.3333333333333,81.544,6,21.2903645833333
10.3333333333333,40.3333333333333,99.18,6,20.4700520833333
10.3333333333333,40.3333333333333,11,9,36.1820405703014
10.3333333333333,40.3333333333333,28.636,9,30.3075140107691
10.3333333333333,40.3333333333333,46.272,9,26.9886067708333
10.3333333333333,40.3333333333333,63.908,9,24.8938802083333
10.3333333333333,40.3333333333333,81.544,9,23.4583333333333
10.3333333333333,40.3333333333333,99.18,9,22.4182942708333
10.3333333333333,40.3333333333333,11,12,37.130478903214
10.3333333333333,40.3333333333333,28.636,12,32.1275181046126
10.3333333333333,40.3333333333333,46.272,12,28.9727585465762
10.3333333333333,40.3333333333333,63.908,12,26.8421223958333
10.3333333333333,40.3333333333333,81.544,12,25.3040364583333
10.3333333333333,40.3333333333333,99.18,12,24.1468098958333
10.3333333333333,40.3333333333333,11,15,37.7253417197396
10.3333333333333,40.3333333333333,28.636,15,33.4084531414903
10.3333333333333,40.3333333333333,46.272,15,30.479836992764
10.3333333333333,40.3333333333333,63.908,15,28.3802083333333
10.3333333333333,40.3333333333333,81.544,15,26.8274739583333
10.3333333333333,40.3333333333333,99.18,15,25.6263020833333
10.3333333333333,40.3333333333333,11,18,38.1351363314319
10.3333333333333,40.3333333333333,28.636,18,34.3494707979149
10.3333333333333,40.3333333333333,46.272,18,31.6410515406458
10.3333333333333,40.3333333333333,63.908,18,29.6300231262397
10.3333333333333,40.3333333333333,81.544,18,28.0872395833333
10.3333333333333,40.3333333333333,99.18,18,26.8567708333333
10.3333333333333,40.3333333333333,11,21,38.433527702324
10.3333333333333,40.3333333333333,28.636,21,35.0683350731775
10.3333333333333,40.3333333333333,46.272,21,32.5652932122906
10.3333333333333,40.3333333333333,63.908,21,30.6448752176935
10.3333333333333,40.3333333333333,81.544,21,29.140262373213
10.3333333333333,40.3333333333333,99.18,21,27.9261067708333
10.3333333333333,40.3333333333333,11,24,38.6598171885816
10.3333333333333,40.3333333333333,28.636,24,35.6320561223267
10.3333333333333,40.3333333333333,46.272,24,33.3138630992466
10.3333333333333,40.3333333333333,63.908,24,31.4936832853561
10.3333333333333,40.3333333333333,81.544,24,30.0281729310891
10.3333333333333,40.3333333333333,99.18,24,28.8343098958333
17.6666666666667,25.1666666666667,11,6,23.7297688321454
17.6666666666667,25.1666666666667,28.636,6,22.0795084635417
17.6666666666667,25.1666666666667,46.272,6,21.3141276041667
17.6666666666667,25.1666666666667,63.908,6,20.8783365885417
17.6666666666667,25.1666666666667,81.544,6,20.5963541666667
17.6666666666667,25.1666666666667,99.18,6,20.3986002604167
17.6666666666667,25.1666666666667,11,9,24.1443507089622
17.6666666666667,25.1666666666667,28.636,9,22.7220119409024
17.6666666666667,25.1666666666667,46.272,9,21.9293619791667
17.6666666666667,25.1666666666667,63.908,9,21.4276529947917
17.6666666666667,25.1666666666667,81.544,9,21.0870768229167
17.6666666666667,25.1666666666667,99.18,9,20.8380533854167
17.6666666666667,25.1666666666667,11,12,24.3754689270451
17.6666666666667,25.1666666666667,28.636,12,23.1590384487583
17.6666666666667,25.1666666666667,46.272,12,22.3997264537175
17.6666666666667,25.1666666666667,63.908,12,21.8890787760417
17.6666666666667,25.1666666666667,81.544,12,21.5192057291667
17.6666666666667,25.1666666666667,99.18,12,21.2445475260417
17.6666666666667,25.1666666666667,11,15,24.5214761205883
17.6666666666667,25.1666666666667,28.636,15,23.4665800218435
17.6666666666667,25.1666666666667,46.272,15,22.757842184113
17.6666666666667,25.1666666666667,63.908,15,22.2552897135417
17.6666666666667,25.1666666666667,81.544,15,21.8817545572917
17.6666666666667,25.1666666666667,99.18,15,21.5924479166667
17.6666666666667,25.1666666666667,11,18,24.622482023041
17.6666666666667,25.1666666666667,28.636,18,23.6945486351739
17.6666666666667,25.1666666666667,46.272,18,23.0378059918411
17.6666666666667,25.1666666666667,63.908,18,22.5536936484732
17.6666666666667,25.1666666666667,81.544,18,22.1820475260417
17.6666666666667,25.1666666666667,99.18,18,21.8890787760417
17.6666666666667,25.1666666666667,11,21,24.6960275653658
