,Tamb,Tdc_in,qdc,wdc
266,17.666666666666664,25.166666666666664,1380.0,46.272000000000006
267,17.666666666666664,25.166666666666664,1380.0,63.90800000000001
268,17.666666666666664,25.166666666666664,1380.0,81.54400000000001
269,17.666666666666664,25.166666666666664,1380.0,99.18
270,17.666666666666664,25.166666666666664,1725.0,11.0
271,17.666666666666664,25.166666666666664,1725.0,28.636000000000003
272,17.666666666666664,25.166666666666664,1725.0,46.272000000000006
273,17.666666666666664,25.166666666666664,1725.0,63.90800000000001
274,17.666666666666664,25.166666666666664,1725.0,81.54400000000001
275,17.666666666666664,25.166666666666664,1725.0,99.18
276,17.666666666666664,25.166666666666664,2070.0,11.0
277,17.666666666666664,25.166666666666664,2070.0,28.636000000000003
278,17.666666666666664,25.166666666666664,2070.0,46.272000000000006
279,17.666666666666664,25.166666666666664,2070.0,63.90800000000001
280,17.666666666666664,25.166666666666664,2070.0,81.54400000000001
281,17.666666666666664,25.166666666666664,2070.0,99.18
282,17.666666666666664,25.166666666666664,2415.0,11.0
283,17.666666666666664,25.166666666666664,2415.0,28.636000000000003
284,17.666666666666664,25.166666666666664,2415.0,46.272000000000006
285,17.666666666666664,25.166666666666664,2415.0,63.90800000000001
286,17.666666666666664,25.166666666666664,2415.0,81.54400000000001
287,17.666666666666664,25.166666666666664,2415.0,99.18
288,17.666666666666664,25.166666666666664,2760.0,11.0
289,17.666666666666664,25.166666666666664,2760.0,28.636000000000003
290,17.666666666666664,25.166666666666664,2760.0,46.272000000000006
291,17.666666666666664,25.166666666666664,2760.0,63.90800000000001
292,17.666666666666664,25.166666666666664,2760.0,81.54400000000001
293,17.666666666666664,25.166666666666664,2760.0,99.18
294,17.666666666666664,29.666666666666664,690.0,11.0
295,17.666666666666664,29.666666666666664,690.0,28.636000000000003
296,17.666666666666664,29.666666666666664,690.0,46.272000000000006
297,17.666666666666664,29.666666666666664,690.0,63.90800000000001
298,17.666666666666664,29.666666666666664,690.0,81.54400000000001
299,17.666666666666664,29.666666666666664,690.0,99.18
300,17.666666666666664,29.666666666666664,1035.0,11.0
301,17.666666666666664,29.666666666666664,1035.0,28.636000000000003
302,17.666666666666664,29.666666666666664,1035.0,46.272000000000006
303,17.666666666666664,29.666666666666664,1035.0,63.90800000000001
304,17.666666666666664,29.666666666666664,1035.0,81.54400000000001
305,17.666666666666664,29.666666666666664,1035.0,99.18
306,17.666666666666664,29.666666666666664,1380.0,11.0
307,17.666666666666664,29.666666666666664,1380.0,28.636000000000003
308,17.666666666666664,29.666666666666664,1380.0,46.272000000000006
309,17.666666666666664,29.666666666666664,1380.0,63.90800000000001
310,17.666666666666664,29.666666666666664,1380.0,81.54400000000001
311,17.666666666666664,29.666666666666664,1380.0,99.18
312,17.666666666666664,29.666666666666664,1725.0,11.0
313,17.666666666666664,29.666666666666664,1725.0,28.636000000000003
314,17.666666666666664,29.666666666666664,1725.0,46.272000000000006
315,17.666666666666664,29.666666666666664,1725.0,63.90800000000001
316,17.666666666666664,29.666666666666664,1725.0,81.54400000000001
317,17.666666666666664,29.666666666666664,1725.0,99.18
318,17.666666666666664,29.666666666666664,2070.0,11.0
319,17.666666666666664,29.666666666666664,2070.0,28.636000000000003
320,17.666666666666664,29.666666666666664,2070.0,46.272000000000006
321,17.666666666666664,29.666666666666664,2070.0,63.90800000000001
322,17.666666666666664,29.666666666666664,2070.0,81.54400000000001
323,17.666666666666664,29.666666666666664,2070.0,99.18
324,17.666666666666664,29.666666666666664,2415.0,11.0
325,17.666666666666664,29.666666666666664,2415.0,28.636000000000003
326,17.666666666666664,29.666666666666664,2415.0,46.272000000000006
327,17.666666666666664,29.666666666666664,2415.0,63.90800000000001
328,17.666666666666664,29.666666666666664,2415.0,81.54400000000001
329,17.666666666666664,29.666666666666664,2415.0,99.18
330,17.666666666666664,29.666666666666664,2760.0,11.0
331,17.666666666666664,29.666666666666664,2760.0,28.636000000000003
332,17.666666666666664,29.666666666666664,2760.0,46.272000000000006
333,17.666666666666664,29.666666666666664,2760.0,63.90800000000001
334,17.666666666666664,29.666666666666664,2760.0,81.54400000000001
335,17.666666666666664,29.666666666666664,2760.0,99.18
336,17.666666666666664,34.166666666666664,690.0,11.0
337,17.666666666666664,34.166666666666664,690.0,28.636000000000003
338,17.666666666666664,34.166666666666664,690.0,46.272000000000006
339,17.666666666666664,34.166666666666664,690.0,63.90800000000001
340,17.666666666666664,34.166666666666664,690.0,81.54400000000001
341,17.666666666666664,34.166666666666664,690.0,99.18
342,17.666666666666664,34.166666666666664,1035.0,11.0
343,17.666666666666664,34.166666666666664,1035.0,28.636000000000003
344,17.666666666666664,34.166666666666664,1035.0,46.272000000000006
345,17.666666666666664,34.166666666666664,1035.0,63.90800000000001
346,17.666666666666664,34.166666666666664,1035.0,81.54400000000001
347,17.666666666666664,34.166666666666664,1035.0,99.18
348,17.666666666666664,34.166666666666664,1380.0,11.0
349,17.666666666666664,34.166666666666664,1380.0,28.636000000000003
350,17.666666666666664,34.166666666666664,1380.0,46.272000000000006
351,17.666666666666664,34.166666666666664,1380.0,63.90800000000001
352,17.666666666666664,34.166666666666664,1380.0,81.54400000000001
353,17.666666666666664,34.166666666666664,1380.0,99.18
354,17.666666666666664,34.166666666666664,1725.0,11.0
355,17.666666666666664,34.166666666666664,1725.0,28.636000000000003
356,17.666666666666664,34.166666666666664,1725.0,46.272000000000006
357,17.666666666666664,34.166666666666664,1725.0,63.90800000000001
358,17.666666666666664,34.166666666666664,1725.0,81.54400000000001
359,17.666666666666664,34.166666666666664,1725.0,99.18
