eval_index,Tamb,HR,Twct_in,qwct,wwct,Twb,mw_ma_ratio,Tout,m_w_lost,evaluation_status,Ce
110,14.75,0.0009707903002056,30.0,3704.727272727273,28.291961217653697,3.0704317474709653,2.250000013096728,23.29290473964091,34810.572954633,2,10.152936765901703
111,14.75,0.0009707903002056,30.0,3704.727272727273,25.735623763108777,3.0704317474709653,3.1250000745617053,24.83585863788001,26787.573430815177,2,8.30243367153954
112,14.75,0.0009707903002056,30.0,3704.727272727273,24.33565044824908,3.0704317474709653,4.000000082917869,25.00060138808149,26207.3175202062,2,7.3758699481185745
113,14.75,0.0009707903002056,30.0,3960.0,92.13614728369824,3.0704317474709653,0.5000000004713209,13.007038423221788,97453.71855161693,2,138.22862455578954
114,14.75,0.0009707903002056,30.0,3960.0,35.62877157409795,3.0704317474709653,1.3750000120214707,20.444040728803245,53126.2286882128,2,16.6461189616704
115,14.75,0.0009707903002056,30.0,3960.0,28.935150915596484,3.0704317474709653,2.2500000482546256,23.29290482031396,37209.180889233314,2,10.65131366297504
116,14.75,0.0009707903002056,30.0,3960.0,26.182106789517903,3.0704317474709653,3.1250000137838123,24.835858555486013,28633.36074996199,2,8.610771434647642
117,14.75,0.0009707903002056,30.0,3960.0,24.67775169325284,3.0704317474709653,4.000000041469876,25.79972227474589,23286.420840579365,2,7.59668206649227
118,14.75,0.0009707903002056,33.0,1152.0,32.103815030028905,3.0704317474709653,0.5000000034427663,13.668116805283782,31777.93145676445,2,13.303067083953858
119,14.75,0.0009707903002056,33.0,1152.0,23.86451098354413,3.0704317474709653,1.3750000297694864,21.83112165578797,17964.516371504527,2,7.0776653084085615
120,14.75,0.0009707903002056,33.0,1152.0,22.15195531664872,3.0704317474709653,2.250000048036049,25.10828488428789,12691.311323855673,2,6.05075918171682
121,14.75,0.0009707903002056,33.0,1152.0,21.41025887352205,3.0704317474709653,3.125000258558228,26.89388140331814,9828.17013991066,2,5.633494805104932
122,14.75,0.0009707903002056,33.0,1407.2727272727273,35.21854147837161,3.0704317474709653,0.5000000065864374,13.668117150396329,38819.63145163737,2,16.235339581701126
123,14.75,0.0009707903002056,33.0,1407.2727272727273,24.85779842122453,3.0704317474709653,1.3750000093206896,21.831121252833,21945.290663822216,2,7.714346466076923
124,14.75,0.0009707903002056,33.0,1407.2727272727273,22.74398099090396,3.0704317474709653,2.2500001093191098,25.108285043774483,15503.59022505759,2,6.395695099767641
125,14.75,0.0009707903002056,33.0,1407.2727272727273,21.83201826090638,3.0704317474709653,3.1250002150787,19.868673757147203,26589.28466414889,2,5.86874614399937
126,14.75,0.0009707903002056,33.0,1407.2727272727273,21.32368721761956,3.0704317474709653,4.000000017625899,28.01920133456959,9800.606902420212,2,5.585864030537627
127,14.75,0.0009707903002056,33.0,1662.5454545454545,38.49090306230989,3.0704317474709653,0.5000000040165121,13.668117102470406,45861.33216629772,2,19.674484161094032
128,14.75,0.0009707903002056,33.0,1662.5454545454545,25.864400645723286,3.0704317474709653,1.3750000322432514,21.83112339696249,25926.05946054602,2,8.39072565504748
129,14.75,0.0009707903002056,33.0,1662.5454545454545,23.34058149466525,3.0704317474709653,2.2500000011859247,25.10878652365572,18314.73789495139,2,6.754033248747866
130,14.75,0.0009707903002056,33.0,1662.5454545454545,22.256067040062167,3.0704317474709653,3.1250000693813,14.086391125340755,49745.10485287719,2,6.110652337513466
131,14.75,0.0009707903002056,33.0,1662.5454545454545,21.65262826328642,3.0704317474709653,4.000000148182431,28.019201471460065,11578.391093189792,2,5.768034453360333
132,14.75,0.0009707903002056,33.0,1917.818181818182,41.947570789544194,3.0704317474709653,0.5000000012505107,13.668109854951965,52903.05331296459,2,23.71851091824676
133,14.75,0.0009707903002056,33.0,1917.818181818182,26.88486829176508,3.0704317474709653,1.3750000135852734,21.83112127549805,29906.83791337881,2,9.108777973193405
134,14.75,0.0009707903002056,33.0,1917.818181818182,23.941863949397334,3.0704317474709653,2.250000086626434,25.10828498289465,21128.148701760987,2,7.126157804464304
135,14.75,0.0009707903002056,33.0,1917.818181818182,22.68244263519993,3.0704317474709653,3.1250001207160745,26.893887471505696,16361.653818497143,2,6.359347469869616
136,14.75,0.0009707903002056,33.0,1917.818181818182,21.982957104817213,3.0704317474709653,4.000000040579756,28.019201358635748,13356.175853871691,2,5.954232535288848
137,14.75,0.0009707903002056,33.0,2173.090909090909,45.623710056674696,3.0704317474709653,0.5000000009864493,13.668117058954977,59944.73353483278,2,28.497427732288656
138,14.75,0.0009707903002056,33.0,2173.090909090909,27.919790209858725,3.0704317474709653,1.375000029784316,21.83112165673788,33887.61042524951,2,9.870622619580557
139,14.75,0.0009707903002056,33.0,2173.090909090909,24.54794086825606,3.0704317474709653,2.250000073268375,25.10878493796968,23938.95340659344,2,7.512469490000913
140,14.75,0.0009707903002056,33.0,2173.090909090909,23.111184114216737,3.0704317474709653,3.125000012027069,26.893881014909063,18539.503938906524,2,6.614969833171106
141,14.75,0.0009707903002056,33.0,2173.090909090909,22.31469123244264,3.0704317474709653,4.000000093989488,28.01920141468276,15133.960183490854,2,6.14452120291034
142,14.75,0.0009707903002056,33.0,2428.3636363636365,49.5673327263448,3.0704317474709653,0.5000000029883127,13.668116797685022,66986.43508876939,2,34.18980706122639
143,14.75,0.0009707903002056,33.0,2428.3636363636365,28.969798940129884,3.0704317474709653,1.3750000219282366,21.831121614889,37868.38408175506,2,10.678538914453297
144,14.75,0.0009707903002056,33.0,2428.3636363636365,25.15892870600464,3.0704317474709653,2.2500000279534498,25.10828483095712,26752.70757318775,2,7.913385464746278
145,14.75,0.0009707903002056,33.0,2428.3636363636365,23.542330915010755,3.0704317474709653,3.125000086600472,19.868673418471204,45881.976293725136,2,6.877661310590977
146,14.75,0.0009707903002056,33.0,2428.3636363636365,22.64784888860209,3.0704317474709653,4.000000066199476,28.01920138547698,16911.744761691552,2,6.338964995815704
147,14.75,0.0009707903002056,33.0,2683.636363636364,53.847020142860686,3.0704317474709653,0.5000000000262012,13.668109835980996,74028.16342036531,2,41.05225946432619
148,14.75,0.0009707903002056,33.0,2683.636363636364,30.03557397274408,3.0704317474709653,1.375000019811318,21.831123058400628,41849.15234159158,2,11.53498240066587
149,14.75,0.0009707903002056,33.0,2683.636363636364,25.77494851861936,3.0704317474709653,2.25000005975216,25.10878490240185,29563.16548442511,2,8.329340523623792
150,14.75,0.0009707903002056,33.0,2683.636363636364,23.97592437204345,3.0704317474709653,3.125000026998167,14.086391024134048,80297.2171079044,2,7.147568424397055
151,14.75,0.0009707903002056,33.0,2683.636363636364,22.982448532230617,3.0704317474709653,4.000000008720216,28.019201325221044,18689.52947678038,2,6.537629800758347
152,14.75,0.0009707903002056,33.0,2938.909090909091,58.56688820053609,3.0704317474709653,0.500000001496374,13.668116773073388,81069.83665112249,2,49.47669931608672
153,14.75,0.0009707903002056,33.0,2938.909090909091,31.11784771417528,3.0704317474709653,1.3750000091877903,21.831121547032904,45829.93141939665,2,12.442604854017649
154,14.75,0.0009707903002056,33.0,2938.909090909091,26.396127169067075,3.0704317474709653,2.2500000093695505,25.108784769780247,32375.272012242644,2,8.760788785791094
